BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,.N225-Index Curve,.N225-Index Curve,JPY,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,9006.78,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,.NDX-Index Curve,.NDX-Index Curve,USD,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,2615.72,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,.PX-Index Curve,.PX-Index Curve,CZK,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,900.9,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,.RUX-Index Curve,.RUX-Index Curve,USD,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,798.49,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,.SETI-Index Curve,.SETI-Index Curve,THB,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,1172.11,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,.SPX-Index Curve,.SPX-Index Curve,USD,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,1362.16,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,.INDC1-Index Curve,INDC1-Index Curve,CNY,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,2225.4305,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,.INDC2-Index Curve,.INDC2-Index Curve,EUR,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,2264.72,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,.SSEC-Index Curve,.SSEC-Index Curve,CNY,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,2225.4305,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,.STOXX50E-Index Curve,.STOXX50E-Index Curve,EUR,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,2264.72,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,.WIG-Index Curve,.WIG-Index Curve,PLN,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,40810.88,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,ASE_INDEX-Index Curve,ASE_INDEX-Index Curve,EUR,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,611.16,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,CECEEUR_INDEX-Index Curve,CECEEUR_INDEX-Index Curve,EUR,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,1623.76,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,ELHK_INDEX-Index Curve,ELHK_INDEX-Index Curve,HKD,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,1,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,ELUK_INDEX-Index Curve,ELUK_INDEX-Index Curve,GBP,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,1,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,EPFI_INDEX-Index Curve,EPFI_INDEX-Index Curve,EUR,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,1,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,EPFR_INDEX-Index Curve,EPFR_INDEX-Index Curve,EUR,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,1,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,EPGR_INDEX-Index Curve,EPGR_INDEX-Index Curve,EUR,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,1,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,EPIT_INDEX-Index Curve,EPIT_INDEX-Index Curve,EUR,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,1,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,EPNL_INDEX-Index Curve,EPNL_INDEX-Index Curve,EUR,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,1,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,EPSP_INDEX-Index Curve,EPSP_INDEX-Index Curve,EUR,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,1,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,EUG4TR_INDEX-Index Curve,EUG4TR_INDEX-Index Curve,EUR,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,183.81,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,EURAGG_EUR_HEDG-Index Curve,EURAGG_EUR_HEDG-Index Curve,EUR,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,194.756093,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,EURAGG_EUR_UNHEDG-Index Curve,EURAGG_EUR_UNHEDG-Index Curve,EUR,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,195.599832,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,FBM100_INDEX-Index Curve,FBM100_INDEX-Index Curve,MYR,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,10742.97,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,FTMSANTR_INDEX-Index Curve,FTMSANTR_INDEX-Index Curve,GBP,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,4491.22,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,GLOBCRED_AUD_HEDG-Index Curve,GLOBCRED_AUD_HEDG-Index Curve,AUD,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,269.666685,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,HFRXEW_INDEX-Index Curve,HFRXEW_INDEX-Index Curve,USD,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,1109,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,HFRXGLE_INDEX-Index Curve,HFRXGLE_INDEX-Index Curve,EUR,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,1046.77,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,INGRASCLX_INDEX-Index Curve,INGRASCLX_INDEX-Index Curve,USD,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,1357.95,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,JNEU1R3_INDEX-Index Curve,JNEU1R3_INDEX-Index Curve,EUR,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,212.205,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,KISKGA2Y_INDEX-Index Curve,KISKGA2Y_INDEX-Index Curve,KRW,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,194.824,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,LPX50TR_INDEX-Index Curve,LPX50TR_INDEX-Index Curve,EUR,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,926.77,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,LVACLC_INDEX-Index Curve,LVACLC_INDEX-Index Curve,CLP,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,2984.66,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,LVACLG_INDEX-Index Curve,LVACLG_INDEX-Index Curve,CLP,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,2242.06,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,MAXIDX_INDEX-Index Curve,MAXIDX_INDEX-Index Curve,HUF,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,477.3791,,,
BAS,Index CurveSPEC,Index CurveSPEC,Index Curve,MAXRMAX_INDEX-Index Curve,MAXRMAX_INDEX-Index Curve,HUF,0,TRUE,@Sliding Axis 2
rm_ro,Index CurveSPEC : Generic Index Surface,Generic Index Surface,Index CurveSPEC,0,0,471.0111,,,
