#BAS,Matrix Parameter CurveSPEC,OBJECT,TYPE,NAME,IDENTIFIER,DatumDATE,RelativeCurveFLAG,OriginOffsetNB,TimeEvolutionFUNC,MatrixParmSurf0SIN,MatrixParmSurf1SIN,MatrixParSfExt0FLAG,MatrixParSfExt1FLAG,MatrixParmSurfFLAG
BAS,Matrix Parameter CurveSPEC,TRUE,TRUE,TRUE,@Constant,@Linear,@Constant,,FALSE,0,EV_AUD_SWAP,EV_AUD_SWAP,Matrix Parameter Curve,Matrix Parameter CurveSPEC
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.135333091,0,2920,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.016227414,1,2920,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.2251068,2,2920,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.022729776,3,2920,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.130728722,0,3285,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.004347526,1,3285,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.238688789,2,3285,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.073248685,3,3285,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.124387361,0,3650,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,-0.007416951,1,3650,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.260938745,2,3650,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.130735122,3,3650,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.120677673,0,4015,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,-0.017307698,1,4015,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.261934497,2,4015,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.163304005,3,4015,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.119516105,0,4380,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,-0.025436652,1,4380,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.24342345,2,4380,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.172896286,3,4380,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.119885194,0,4745,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,-0.032152171,1,4745,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.214113996,2,4745,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.168079463,3,4745,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.12099749,0,5110,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,-0.037721723,1,5110,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.180482049,2,5110,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.155377614,3,5110,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.122216847,0,5475,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,-0.042340323,1,5475,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.147616727,2,5475,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.140024943,3,5475,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.123094975,0,5840,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,-0.046153633,1,5840,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.118961445,2,5840,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.125730177,3,5840,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.123604382,0,6205,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,-0.049305773,1,6205,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.094390546,2,6205,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.112943533,3,6205,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.123803635,0,6570,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,-0.051913597,1,6570,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
rm_ro,Matrix Parameter CurveSPEC : Matrix Parameter Surface,0.073150073,2,6570,Matrix Parameter CurveSPEC,Matrix Parameter Surface,,,,,,,,
