#BAS,Volatility - Moneyness/TermSPEC,OBJECT,TYPE,NAME,IDENTIFIER,DatumDATE,RelativeCurveFLAG,CurveUnitDAYC,CurveUnitPERD,CurveUnitUNIT,TimeEvolutionFUNC,GnVolMnyTrmSf1SIN,GnVolMnyTrmSf0SIN,GnVolMTSfExt0FLAG,GnVolMTSfExt1FLAG,GnVolMnyTrmSfFLAG,StateProcFUNC,CurveFUNC
BAS,Volatility - Moneyness/TermSPEC,Volatility - Moneyness/TermSPEC,Volatility - Moneyness/Term,EUR/AUD-Vol-Factor,EUR/AUD-Vol-Factor,0,FALSE,,,,,@Linear,,FALSE,FALSE,,,
rm_ro,Volatility - Moneyness/TermSPEC : Generic Volatility Moneyness Term Surface,Generic Volatility Moneyness Term Surface,Volatility - Moneyness/TermSPEC,1,91,1,,,,,,,,,,,,
rm_ro,Volatility - Moneyness/TermSPEC : Generic Volatility Moneyness Term Surface,Generic Volatility Moneyness Term Surface,Volatility - Moneyness/TermSPEC,1,182,0.95,,,,,,,,,,,,
rm_ro,Volatility - Moneyness/TermSPEC : Generic Volatility Moneyness Term Surface,Generic Volatility Moneyness Term Surface,Volatility - Moneyness/TermSPEC,1,365,0.8,,,,,,,,,,,,
rm_ro,Volatility - Moneyness/TermSPEC : Generic Volatility Moneyness Term Surface,Generic Volatility Moneyness Term Surface,Volatility - Moneyness/TermSPEC,1,730,0.65,,,,,,,,,,,,
rm_ro,Volatility - Moneyness/TermSPEC : Generic Volatility Moneyness Term Surface,Generic Volatility Moneyness Term Surface,Volatility - Moneyness/TermSPEC,1,1095,0.55,,,,,,,,,,,,
rm_ro,Volatility - Moneyness/TermSPEC : Generic Volatility Moneyness Term Surface,Generic Volatility Moneyness Term Surface,Volatility - Moneyness/TermSPEC,1,1825,0.45,,,,,,,,,,,,
rm_ro,Volatility - Moneyness/TermSPEC : Generic Volatility Moneyness Term Surface,Generic Volatility Moneyness Term Surface,Volatility - Moneyness/TermSPEC,1,2555,0.35,,,,,,,,,,,,
rm_ro,Volatility - Moneyness/TermSPEC : Generic Volatility Moneyness Term Surface,Generic Volatility Moneyness Term Surface,Volatility - Moneyness/TermSPEC,1,3650,0.25,,,,,,,,,,,,
rm_ro,Volatility - Moneyness/TermSPEC : Generic Volatility Moneyness Term Surface,Generic Volatility Moneyness Term Surface,Volatility - Moneyness/TermSPEC,1,5475,0.2,,,,,,,,,,,,
rm_ro,Volatility - Moneyness/TermSPEC : Generic Volatility Moneyness Term Surface,Generic Volatility Moneyness Term Surface,Volatility - Moneyness/TermSPEC,1,9125,0.15,,,,,,,,,,,,
rm_ro,Volatility - Moneyness/TermSPEC : Generic Volatility Moneyness Term Surface,Generic Volatility Moneyness Term Surface,Volatility - Moneyness/TermSPEC,1,10950,0.15,,,,,,,,,,,,
rm_ro,Volatility - Moneyness/TermSPEC : Generic Volatility Moneyness Term Surface,Generic Volatility Moneyness Term Surface,Volatility - Moneyness/TermSPEC,1,18250,0.1,,,,,,,,,,,,
BAS,Volatility - Moneyness/TermSPEC,Volatility - Moneyness/TermSPEC,Volatility - Moneyness/Term,EUR/BGN-Vol-Factor,EUR/BGN-Vol-Factor,0,FALSE,,,,,@Linear,,FALSE,FALSE,,,
rm_ro,Volatility - Moneyness/TermSPEC : Generic Volatility Moneyness Term Surface,Generic Volatility Moneyness Term Surface,Volatility - Moneyness/TermSPEC,1,91,1,,,,,,,,,,,,
rm_ro,Volatility - Moneyness/TermSPEC : Generic Volatility Moneyness Term Surface,Generic Volatility Moneyness Term Surface,Volatility - Moneyness/TermSPEC,1,182,0.95,,,,,,,,,,,,
rm_ro,Volatility - Moneyness/TermSPEC : Generic Volatility Moneyness Term Surface,Generic Volatility Moneyness Term Surface,Volatility - Moneyness/TermSPEC,1,365,0.8,,,,,,,,,,,,
rm_ro,Volatility - Moneyness/TermSPEC : Generic Volatility Moneyness Term Surface,Generic Volatility Moneyness Term Surface,Volatility - Moneyness/TermSPEC,1,730,0.65,,,,,,,,,,,,
rm_ro,Volatility - Moneyness/TermSPEC : Generic Volatility Moneyness Term Surface,Generic Volatility Moneyness Term Surface,Volatility - Moneyness/TermSPEC,1,1095,0.55,,,,,,,,,,,,
