BAS,Volatility - Term/TermSPEC,,,TRUE,FALSE,FALSE,@Linear,@Linear,@Constant,%,annual,actual/actual,FALSE,0,AUD_Swaption_Volatility_Surface,AUD_Swaption_Volatility_Surface,Volatility - Term/Term,Volatility - Term/TermSPEC
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.184625844,1825,5475,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.190532604,1825,7300,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.19373177,1825,9125,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.195445033,1825,10950,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.196844699,2190,365,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.199808354,2190,730,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.198818613,2190,1095,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.196796287,2190,1460,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.194297295,2190,1825,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.191644075,2190,2190,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
rm_ro,Volatility - Term/TermSPEC : Generic Volatility Term Term Surface,0.18891545,2190,2555,Volatility - Term/TermSPEC,Generic Volatility Term Term Surface,,,,,,,,,,,,
